SalePrice,YearBuilt,Size,Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall)
345439.4,1986,910,7,100,18,5,10,1,2,5,1,2,1
733451,2007,868,12,0,1270,5,5,7,16,3,1,2,1
1660086.4,2007,1643,39,0,1270,5,5,7,16,3,1,2,1
733451,2007,868,13,0,1270,5,5,7,16,3,1,2,1
1080529.5,2006,2056,2,249,536,5,5,6,11,1,1,0,1
317608,1993,644,17,523,536,5,20,8,20,6,2,0,1
589380.4,1993,1288,15,523,536,5,20,8,20,6,2,0,1
353627.5,1993,644,14,523,536,5,20,8,20,6,2,0,1
730176.5,2007,868,7,0,1270,5,5,7,16,3,1,2,1
1286811.9,2007,1334,10,7,605,5,5,2,5,4,1,2,1
1168937.3,2007,1334,3,7,605,5,5,2,5,4,1,2,1
1290086.4,2007,1483,3,7,605,5,5,2,5,4,1,2,1
1457078.5,2007,1629,3,7,605,5,5,2,5,4,1,2,1
1290086.4,2007,1483,4,7,605,5,5,2,5,4,1,2,1
602474.7,1986,1131,5,713,0,5,15,7,27,5,1,1,0
898804,2006,1437,4,249,536,5,5,6,11,1,1,0,1
982298.2,2007,1394,24,554,524,5,5,3,10,2,2,2,2
738035.3,2007,1103,17,554,524,5,5,3,10,2,2,2,2
1093202,2007,1273,18,7,605,5,5,2,5,4,1,2,1
163713.9,1986,508,1,100,18,5,10,1,2,5,1,2,1
982298.2,2006,1437,28,249,536,5,5,6,11,1,1,0,1
605094.3,2007,914,26,554,524,5,5,3,10,2,2,2,2
769466.8,1986,1377,10,713,0,5,15,7,27,5,1,1,0
374909.9,1993,644,11,523,536,5,20,8,20,6,2,0,1
255396.2,1992,640,11,200,0,10,15,3,10,7,1,1,1
654866.7,2007,868,15,0,1270,5,5,7,16,3,1,2,1
651592.2,2006,903,1,123,181,10,5,3,11,3,1,1,1
568094.3,2005,743,17,67,798,5,10,8,0,5,2,0,1
297961,1992,644,15,142,79,10,20,3,8,5,1,1,1
628670.7,1986,1377,2,713,0,5,15,7,27,5,1,1,0
1319556.9,2007,1387,23,0,1270,5,5,7,16,3,1,2,1
1414510,2007,1483,20,7,605,5,5,2,5,4,1,2,1
180086.4,1986,508,6,100,18,5,10,1,2,5,1,2,1
982298.2,2007,1366,17,554,524,5,5,3,10,2,2,2,2
609023.7,1986,1131,12,713,0,5,15,7,27,5,1,1,0
266855.1,1985,676,9,80,76,5,10,1,2,5,1,2,1
687608,1993,1761,17,523,536,5,20,8,20,6,2,0,1
1028141.2,2007,1419,11,554,524,5,5,3,10,2,2,2,2
1280262.9,2006,2056,15,249,536,5,5,6,11,1,1,0,1
1407961,2006,2056,26,249,536,5,5,6,11,1,1,0,1
851325.6,2005,1184,10,67,798,5,10,8,0,5,2,0,1
687608,1993,1451,21,523,536,5,20,8,20,6,2,0,1
613937.3,1986,1313,4,713,0,5,15,7,27,5,1,1,0
933184.4,2007,914,13,554,524,5,5,3,10,2,2,2,2
333980.5,1993,644,18,523,536,5,20,8,20,6,2,0,1
425662.8,1993,914,2,523,536,5,20,8,20,6,2,0,1
278317.7,1997,644,7,82,56,10,20,1,4,7,1,2,1
271768.7,1997,644,4,82,56,10,20,1,4,7,1,2,1
417474.7,1993,914,2,523,536,5,20,8,20,6,2,0,1
1234423.6,2007,1387,16,0,1270,5,5,7,16,3,1,2,1
1077580.6,2007,1394,14,554,524,5,5,3,10,2,2,2,2
814980.5,2007,1103,30,554,524,5,5,3,10,2,2,2,2
311059,1993,644,7,523,536,5,20,8,20,6,2,0,1
1061537.4,2007,1394,10,554,524,5,5,3,10,2,2,2,2
137521.6,1992,355,10,200,0,10,15,3,10,7,1,1,1
247211.8,1997,558,11,82,56,10,20,1,4,7,1,2,1
1512741.3,2007,1643,2,0,1270,5,5,7,16,3,1,2,1
605749.2,2005,914,13,67,798,5,10,8,0,5,2,0,1
500972.6,2005,743,7,67,798,5,10,8,0,5,2,0,1
199733.4,1997,430,10,82,56,10,20,1,4,7,1,2,1
216105.9,1997,644,12,82,56,10,20,1,4,7,1,2,1
741931.4,2009,914,13,25,203,5,120,1,5,2,1,0,0
884070.6,2007,1366,14,554,524,5,5,3,10,2,2,2,2
340529.5,1993,644,9,523,536,5,20,8,20,6,2,0,1
622121.7,2006,903,1,123,181,10,5,3,11,3,1,1,1
550086.4,1986,1377,1,713,0,5,15,7,27,5,1,1,0
718976.6,2009,914,2,25,203,5,120,1,5,2,1,0,0
283227.6,1993,644,5,523,536,5,20,8,20,6,2,0,1
311059,1993,644,3,523,536,5,20,8,20,6,2,0,1
1407961,2007,1519,26,0,1270,5,5,7,16,3,1,2,1
741931.4,2009,914,16,25,203,5,120,1,5,2,1,0,0
726902,2006,914,18,249,536,5,5,6,11,1,1,0,1
818580.6,2007,1394,4,554,524,5,5,3,10,2,2,2,2
556635.4,2005,914,9,67,798,5,10,8,0,5,2,0,1
681059,1986,1377,4,713,0,5,15,7,27,5,1,1,0
569733.4,1986,1131,7,713,0,5,15,7,27,5,1,1,0
753490.2,2009,910,11,25,203,5,120,1,5,2,1,0,0
753490.2,2009,910,15,25,203,5,120,1,5,2,1,0,0
502608,2005,743,4,67,798,5,10,8,0,5,2,0,1
1407961,2007,1519,28,0,1270,5,5,7,16,3,1,2,1
745794.2,2009,910,8,25,203,5,120,1,5,2,1,0,0
972837.3,2009,1160,9,25,203,5,120,1,5,2,1,0,0
710170.6,2009,1160,5,25,203,5,120,1,5,2,1,0,0
529884.4,2009,910,3,25,203,5,120,1,5,2,1,0,0
538823.6,2009,910,3,25,203,5,120,1,5,2,1,0,0
716945.3,2009,1160,11,25,203,5,120,1,5,2,1,0,0
696580.5,2009,1160,2,25,203,5,120,1,5,2,1,0,0
425662.8,2006,636,7,111,184,10,15,3,0,2,1,1,1
615572.7,2008,914,14,197,475,10,5,6,14,3,1,1,1
497698.1,1993,914,13,523,536,5,20,8,20,6,2,0,1
818580.6,2007,1366,4,554,524,5,5,3,10,2,2,2,2
654866.7,1986,1377,4,713,0,5,15,7,27,5,1,1,0
641768.7,2006,811,17,111,184,10,15,3,0,2,1,1,1
309423.6,1993,644,16,523,536,5,20,8,20,6,2,0,1
1407961,2007,1519,20,0,1270,5,5,7,16,3,1,2,1
762917.8,2007,868,23,0,1270,5,5,7,16,3,1,2,1
206282.4,1985,587,9,80,76,5,10,1,2,5,1,2,1
867698.1,2006,1437,3,249,536,5,5,6,11,1,1,0,1
464953.1,2005,743,8,67,798,5,10,8,0,5,2,0,1
776015.8,1986,1377,10,713,0,5,15,7,27,5,1,1,0
753094.3,2007,868,11,0,1270,5,5,7,16,3,1,2,1
145706,1992,355,8,200,0,10,15,3,10,7,1,1,1
609023.7,2008,829,9,197,475,10,5,6,14,3,1,1,1
1473451,2007,1519,22,0,1270,5,5,7,16,3,1,2,1
291415.7,1997,644,9,82,56,10,20,1,4,7,1,2,1
343804,1980,1060,2,90,1174,5,5,10,20,7,1,0,1
1247521.6,2007,1334,9,7,605,5,5,2,5,4,1,2,1
785839.3,2007,1394,6,554,524,5,5,3,10,2,2,2,2
618847.2,2009,910,10,25,203,5,120,1,5,2,1,0,0
252121.7,1992,640,10,200,0,10,15,3,10,7,1,1,1
572353,2006,857,4,123,181,10,5,3,11,3,1,1,1
289776.6,1997,644,10,82,56,10,20,1,4,7,1,2,1
1417784.5,2007,1483,16,7,605,5,5,2,5,4,1,2,1
438760.8,1993,914,2,523,536,5,20,8,20,6,2,0,1
720353,2007,868,5,0,1270,5,5,7,16,3,1,2,1
1322831.4,2007,1334,21,7,605,5,5,2,5,4,1,2,1
645043.2,2006,818,24,249,536,5,5,6,11,1,1,0,1
324157,1993,644,2,523,536,5,20,8,20,6,2,0,1
392917.8,1992,914,5,142,79,10,20,3,8,5,1,1,1
489510,2005,743,23,67,798,5,10,8,0,5,2,0,1
841502.1,2007,868,10,0,1270,5,5,7,16,3,1,2,1
605749.2,2006,814,15,111,184,10,15,3,0,2,1,1,1
343804,1986,910,12,100,18,5,10,1,2,5,1,2,1
232474.7,1992,576,11,200,0,10,15,3,10,7,1,1,1
654866.7,1993,1451,9,523,536,5,20,8,20,6,2,0,1
884070.6,2007,868,25,0,1270,5,5,7,16,3,1,2,1
196458.9,1985,587,4,80,76,5,10,1,2,5,1,2,1
268819.8,2005,572,21,67,798,5,10,8,0,5,2,0,1
280904,2005,572,18,67,798,5,10,8,0,5,2,0,1
273208,2005,572,10,67,798,5,10,8,0,5,2,0,1
270129.6,2005,572,1,67,798,5,10,8,0,5,2,0,1
274747.2,2005,572,2,67,798,5,10,8,0,5,2,0,1
280904,2005,572,12,67,798,5,10,8,0,5,2,0,1
280904,2005,572,10,67,798,5,10,8,0,5,2,0,1
280904,2005,572,20,67,798,5,10,8,0,5,2,0,1
270296.1,2005,572,6,67,798,5,10,8,0,5,2,0,1
279364.8,2005,572,9,67,798,5,10,8,0,5,2,0,1
276286.4,2005,572,21,67,798,5,10,8,0,5,2,0,1
523890.4,2005,743,1,67,798,5,10,8,0,5,2,0,1
273208,2005,572,18,67,798,5,10,8,0,5,2,0,1
280904,2005,572,17,67,798,5,10,8,0,5,2,0,1
280904,2005,572,13,67,798,5,10,8,0,5,2,0,1
392917.8,2005,572,19,67,798,5,10,8,0,5,2,0,1
602474.7,2006,903,7,123,181,10,5,3,11,3,1,1,1
703980.5,1993,2337,14,523,536,5,20,8,20,6,2,0,1
280904,2005,572,11,67,798,5,10,8,0,5,2,0,1
214466.8,1992,576,3,200,0,10,15,3,10,7,1,1,1
631945.2,2008,914,5,197,475,10,5,6,14,3,1,1,1
491149.1,2006,636,6,111,184,10,15,3,0,2,1,1,1
523890.4,1993,1451,18,523,536,5,20,8,20,6,2,0,1
687608,1993,1288,9,523,536,5,20,8,20,6,2,0,1
818580.6,1986,2092,5,713,0,5,15,7,27,5,1,1,0
982298.2,2006,1412,17,249,536,5,5,6,11,1,1,0,1
299600.1,1992,644,11,142,79,10,20,3,8,5,1,1,1
640129.6,1993,1451,5,523,536,5,20,8,20,6,2,0,1
541902,2005,743,10,67,798,5,10,8,0,5,2,0,1
703980.5,1993,2337,10,523,536,5,20,8,20,6,2,0,1
641768.7,2009,910,10,25,203,5,120,1,5,2,1,0,0
1375219.7,2007,1483,7,7,605,5,5,2,5,4,1,2,1
658141.2,2008,914,3,197,475,10,5,6,14,3,1,1,1
613937.3,2005,914,23,67,798,5,10,8,0,5,2,0,1
373270.8,1993,644,11,523,536,5,20,8,20,6,2,0,1
677784.5,2006,910,6,111,184,10,15,3,0,2,1,1,1
1561855.1,2007,1690,5,7,605,5,5,2,5,4,1,2,1
523890.4,2005,743,11,67,798,5,10,8,0,5,2,0,1
353627.5,1993,644,13,523,536,5,20,8,20,6,2,0,1
489510,1993,914,24,523,536,5,20,8,20,6,2,0,1
605749.2,2006,814,15,111,184,10,15,3,0,2,1,1,1
1499643.3,2007,1483,26,7,605,5,5,2,5,4,1,2,1
343804,1993,644,3,523,536,5,20,8,20,6,2,0,1
127698.1,1992,355,2,200,0,10,15,3,10,7,1,1,1
278317.7,1997,644,11,82,56,10,20,1,4,7,1,2,1
335615.9,1997,914,1,82,56,10,20,1,4,7,1,2,1
1457078.5,2007,1483,25,7,605,5,5,2,5,4,1,2,1
1457078.5,2007,1483,21,7,605,5,5,2,5,4,1,2,1
221670.7,1986,508,11,100,18,5,10,1,2,5,1,2,1
825129.6,2007,1103,18,554,524,5,5,3,10,2,2,2,2
605749.2,2008,829,2,197,475,10,5,6,14,3,1,1,1
419113.8,2005,572,8,67,798,5,10,8,0,5,2,0,1
311059,1993,644,1,523,536,5,20,8,20,6,2,0,1
589380.4,2006,903,12,123,181,10,5,3,11,3,1,1,1
622121.7,1986,1131,7,713,0,5,15,7,27,5,1,1,0
661415.7,2009,914,15,25,203,5,120,1,5,2,1,0,0
1371945.2,2007,1483,10,7,605,5,5,2,5,4,1,2,1
500972.6,1993,914,19,523,536,5,20,8,20,6,2,0,1
638494.2,2005,914,11,67,798,5,10,8,0,5,2,0,1
687608,2005,1184,3,67,798,5,10,8,0,5,2,0,1
595925.7,1986,1131,8,713,0,5,15,7,27,5,1,1,0
1601149.1,2007,1629,11,7,605,5,5,2,5,4,1,2,1
884070.6,2006,1149,16,249,536,5,5,6,11,1,1,0,1
720353,2007,914,13,554,524,5,5,3,10,2,2,2,2
455129.6,1992,914,7,142,79,10,20,3,8,5,1,1,1
425662.8,2005,572,4,67,798,5,10,8,0,5,2,0,1
532078.5,2006,636,3,111,184,10,15,3,0,2,1,1,1
630306.1,2006,814,7,111,184,10,15,3,0,2,1,1,1
257035.3,1992,576,13,200,0,10,15,3,10,7,1,1,1
834953.1,2007,868,19,0,1270,5,5,7,16,3,1,2,1
247211.8,1992,576,11,200,0,10,15,3,10,7,1,1,1
494423.6,1993,914,18,523,536,5,20,8,20,6,2,0,1
612298.2,2005,914,4,67,798,5,10,8,0,5,2,0,1
217741.3,1997,430,2,82,56,10,20,1,4,7,1,2,1
1136192.3,2006,2056,8,249,536,5,5,6,11,1,1,0,1
605749.2,2006,903,3,123,181,10,5,3,11,3,1,1,1
214466.8,1997,430,5,82,56,10,20,1,4,7,1,2,1
278317.7,1997,644,5,82,56,10,20,1,4,7,1,2,1
638494.2,2006,811,6,111,184,10,15,3,0,2,1,1,1
1401415.7,2006,2056,13,249,536,5,5,6,11,1,1,0,1
360176.5,1992,914,18,142,79,10,20,3,8,5,1,1,1
343804,1992,644,14,142,79,10,20,3,8,5,1,1,1
381458.9,1992,644,19,142,79,10,20,3,8,5,1,1,1
949556.9,2007,1419,21,554,524,5,5,3,10,2,2,2,2
661415.7,1986,1131,9,713,0,5,15,7,27,5,1,1,0
808760.8,2007,914,24,554,524,5,5,3,10,2,2,2,2
432211.8,1993,644,4,523,536,5,20,8,20,6,2,0,1
733451,2008,829,17,197,475,10,5,6,14,3,1,1,1
713804,2005,914,8,67,798,5,10,8,0,5,2,0,1
962651.2,2008,1167,12,197,475,10,5,6,14,3,1,1,1
442035.3,1997,914,15,82,56,10,20,1,4,7,1,2,1
746545.3,2006,910,4,111,184,10,15,3,0,2,1,1,1
1552035.3,2007,1629,9,7,605,5,5,2,5,4,1,2,1
523890.4,1993,914,15,523,536,5,20,8,20,6,2,0,1
802211.8,2006,910,9,111,184,10,15,3,0,2,1,1,1
720353,2006,818,3,249,536,5,5,6,11,1,1,0,1
687608,2006,903,11,123,181,10,5,3,11,3,1,1,1
720353,2007,868,12,0,1270,5,5,7,16,3,1,2,1
1417784.5,2007,1483,13,7,605,5,5,2,5,4,1,2,1
311059,1992,576,13,200,0,10,15,3,10,7,1,1,1
491149.1,1986,914,12,713,0,5,15,7,27,5,1,1,0
802211.8,1986,1377,8,713,0,5,15,7,27,5,1,1,0
654866.7,1986,1131,6,713,0,5,15,7,27,5,1,1,0
687608,2006,903,11,123,181,10,5,3,11,3,1,1,1
700706,2009,910,20,25,203,5,120,1,5,2,1,0,0
487874.6,1992,1448,1,142,79,10,20,3,8,5,1,1,1
435486.3,1993,644,17,523,536,5,20,8,20,6,2,0,1
599200.2,1993,914,18,523,536,5,20,8,20,6,2,0,1
728537.4,2008,914,1,197,475,10,5,6,14,3,1,1,1
815306.1,2007,1103,13,554,524,5,5,3,10,2,2,2,2
753094.3,2005,914,9,67,798,5,10,8,0,5,2,0,1
458404.1,1993,914,23,523,536,5,20,8,20,6,2,0,1
828404.1,2007,1103,5,554,524,5,5,3,10,2,2,2,2
631945.2,2005,743,16,67,798,5,10,8,0,5,2,0,1
586105.9,1993,914,15,523,536,5,20,8,20,6,2,0,1
458404.1,1993,644,19,523,536,5,20,8,20,6,2,0,1
484600.1,2005,572,20,67,798,5,10,8,0,5,2,0,1
622121.7,1993,914,23,523,536,5,20,8,20,6,2,0,1
184015.8,1992,355,11,200,0,10,15,3,10,7,1,1,1
674510,2006,814,6,111,184,10,15,3,0,2,1,1,1
831678.6,1993,1288,18,523,536,5,20,8,20,6,2,0,1
586105.9,1993,914,14,523,536,5,20,8,20,6,2,0,1
517345.1,1992,914,13,142,79,10,20,3,8,5,1,1,1
437121.7,1993,644,4,523,536,5,20,8,20,6,2,0,1
631945.2,2005,743,11,67,798,5,10,8,0,5,2,0,1
677784.5,2005,914,6,67,798,5,10,8,0,5,2,0,1
720353,2006,903,11,123,181,10,5,3,11,3,1,1,1
458404.1,1993,644,11,523,536,5,20,8,20,6,2,0,1
740000,2008,829,2,197,475,10,5,6,14,3,1,1,1
769466.8,2006,910,5,111,184,10,15,3,0,2,1,1,1
1398141.2,2007,1519,27,0,1270,5,5,7,16,3,1,2,1
356902,1992,640,7,200,0,10,15,3,10,7,1,1,1
278317.7,1992,640,15,200,0,10,15,3,10,7,1,1,1
802211.8,2008,829,17,197,475,10,5,6,14,3,1,1,1
975749.2,2007,868,21,0,1270,5,5,7,16,3,1,2,1
370000,1997,644,14,82,56,10,20,1,4,7,1,2,1
867698.1,2006,910,20,111,184,10,15,3,0,2,1,1,1
851325.6,2008,914,23,197,475,10,5,6,14,3,1,1,1
710529.5,2007,868,3,0,1270,5,5,7,16,3,1,2,1
1457078.5,2007,1483,23,7,605,5,5,2,5,4,1,2,1
797298.2,2008,829,19,197,475,10,5,6,14,3,1,1,1
792388.3,2008,829,23,197,475,10,5,6,14,3,1,1,1
1015043.2,2007,1366,6,554,524,5,5,3,10,2,2,2,2
703980.5,2006,811,2,111,184,10,15,3,0,2,1,1,1
756368.8,2006,818,20,249,536,5,5,6,11,1,1,0,1
900439.4,2008,914,24,197,475,10,5,6,14,3,1,1,1
486235.5,1993,644,21,523,536,5,20,8,20,6,2,0,1
864423.6,2008,914,11,197,475,10,5,6,14,3,1,1,1
844776.6,2007,1103,29,554,524,5,5,3,10,2,2,2,2
438760.8,1992,644,4,142,79,10,20,3,8,5,1,1,1
798937.3,2006,903,15,123,181,10,5,3,11,3,1,1,1
906988.4,2006,1192,14,123,181,10,5,3,11,3,1,1,1
766192.3,2006,818,8,249,536,5,5,6,11,1,1,0,1
681059,2005,743,6,67,798,5,10,8,0,5,2,0,1
507521.6,1993,644,10,523,536,5,20,8,20,6,2,0,1
818580.6,2007,868,11,0,1270,5,5,7,16,3,1,2,1
730176.5,1986,1131,8,713,0,5,15,7,27,5,1,1,0
605749.2,1993,914,15,523,536,5,20,8,20,6,2,0,1
569733.4,2005,572,14,67,798,5,10,8,0,5,2,0,1
222651.2,1997,644,11,82,56,10,20,1,4,7,1,2,1
1152564.8,2006,1743,9,249,536,5,5,6,11,1,1,0,1
769466.8,2006,818,12,249,536,5,5,6,11,1,1,0,1
512431.5,1992,914,2,142,79,10,20,3,8,5,1,1,1
818580.6,1986,1377,10,713,0,5,15,7,27,5,1,1,0
720353,2006,903,7,123,181,10,5,3,11,3,1,1,1
